# SAMPLE · DETERMINISTIC REVIEW DATA.
# snapshot_id=venue-partial-2026-07-24
# definition_version=account-metrics.v2
account_name,edition,period_start,period_end,coverage_state,data_through,metric_key,value_state,value,denominator,unit,definition_version,withheld_reason
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,access.covered,exact,40,,codes,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,access.available,exact,14,,codes,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,access.issued,exact,26,,codes,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,access.redeemed,exact,18,,codes,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,adoption.first_useful_action,lower_bound,13,,workspaces,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,adoption.active_recently,lower_bound,9,,workspaces,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,adoption.continued_after_30_days,withheld,,,workspaces,account-metrics.v2,small_group
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,adoption.days_with_sponsored_use,lower_bound,18,,days,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,product_reach.notes,lower_bound,7,,workspaces,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,product_reach.tasks,lower_bound,9,,workspaces,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,product_reach.timeline,lower_bound,5,,workspaces,account-metrics.v2,
Glenmara House,venue,2026-06-25,2026-07-24,partial,2026-07-24,product_reach.signal,unavailable,,,workspaces,account-metrics.v2,Signal module coverage missing for 3 days in this window
