# SAMPLE · DETERMINISTIC REVIEW DATA.
# snapshot_id=venue-suppressed-2026-07-24
# definition_version=account-metrics.v2
account_name,edition,period_start,period_end,coverage_state,data_through,metric_key,value_state,value,denominator,unit,definition_version,withheld_reason
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,access.allotted,exact,8,,codes,account-metrics.v2,
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,access.available,exact,4,,codes,account-metrics.v2,
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,access.issued,exact,4,,codes,account-metrics.v2,
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,access.redeemed,exact,2,,codes,account-metrics.v2,
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,adoption.first_useful_action,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,adoption.active_recently,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,adoption.continued_after_30_days,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,adoption.days_with_sponsored_use,withheld,,,days,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,product_reach.notes,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,product_reach.tasks,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,product_reach.timeline,withheld,,,workspaces,account-metrics.v2,small_group
Ashford Barn,venue,2026-06-25,2026-07-24,suppressed,2026-07-24,product_reach.signal,withheld,,,workspaces,account-metrics.v2,small_group
